id	type	code	report	target	specimen	analyzedgene	method	comment	comment1	comment2	Mutation_Comment
322	Genetic	LPE533	유전성 내분비질환 [NGS]	Genetic Endocrine disorders (538 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
323	Genetic	LPE537	치매 [NGS]	Dementia (1097 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
324	Genetic	LPE532	Ras질병(Rasopahy) [NGS]	Rasopathy (21 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
325	SEQ	LPE316	FANCA Gene Sequencing Analysis Report								
326	SEQ	LPE320	ATP7B Gene Sequencing Analysis Report	Wilson disease (MIM #277900)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen 	ATP7B on 13q14.3	*Direct sequencing for whole exons including intron-exon boundaries	"ATP7B 유전자 변이는 NM_000053.2 reference sequence를 기준으로 기술하였습니다. *Sequencing has an analytical sensitivity of approximately 99% for the detection of nucleotide base alterations, small deletions and insertions, but it does not detect large deletions. Low-level mosaicism will not be detected by routine sequencing methodologies. Only the coding and immediate flanking regions of genes are analyzed, new splice sites, changes in the promoter region, and other non-coding or regulatory region will not be detected."	"윌슨병(Wilson disease)은 상염색체 열성으로 유전하는 구리 대사 이상 질환으로 구리의 담도 배설 장애로 인하여 간, 뇌, 각막, 적혈구, 신장 등에 구리가 침착하여 간염, 간경화 등 간 기능 장애, 신경 장애, Kayser-Fleischer ring, 용혈성 빈혈, 신세뇨관 기능 이상 등을 초래하는 진행성, 유전성 질환입니다. 윌슨병의 발병과 관계된 원인 유전자의 산물은 P-type ATPase (ATP7B)로 구리의 수송에 관여하는 유전자이며, 동아시아인에서는 Arg778Leu이 비교적 흔한 돌연변이로 알려져 있습니다."	본 검사는 reference sequence NM_000053.2를 기준으로 ATP7B 유전자의 모든 coding exon과 인접 intron 부위의 염기서열을 직접염기서열법으로 확인하는 검사입니다. 	
327	SEQ	LPC118	MSH2 Gene Sequencing Analysis Report								
328	SEQ	LPE368	THRB Gene Sequencing Analysis Report								
329	SEQ	LPE354	COL1A1 Gene Sequencing Analysis Report								
330	Genetic	LPE540	유전성 당뇨 [NGS]	MODY Neonata Diabetes (383 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
331	SEQ	LPE231	FGFR3 Gene Sequencing Analysis Report								
332	SEQ	LPE356	COL1A2 Gene Sequencing Analysis Report								
333	SEQ	LPE378	UGT1A1 Gene Sequencing Analysis Report								
334	SEQ	LPE410	CSF3R Gene Sequencing Analysis Report								
335	SEQ	LPE237	KCNH2 Gene Sequencing Analysis Report								
336	SEQ	LPE414	PKHD1 Gene Sequencing Analysis Report								
337	SEQ	LPE282	TSC1 Gene Sequencing Analysis Report								
338	SEQ	LPE436	EPOR Gene Sequencing Analysis Report								
339	SEQ	LPE392	HBA2 Gene Sequencing Analysis Report								
340	SEQ	LPE276	PKD 2 Gene Sequencing Analysis Report								
341	SEQ	LPE285	PAX6 Gene Sequencing Analysis Report								
342	SEQ	LPE302	LHON Gene Sequencing Analysis Report								
343	SEQ	LPE431	IKBKG Gene Sequencing Analysis Report								
344	SEQ	LPE340	CFTR Gene Sequencing Analysis Report								
345	SEQ	LPE360	DNMT3A Gene Sequencing Analysis Report								
346	SEQ	LPE462	CHD7 Gene Sequencing Analysis Report								
347	SEQ	LPE482	AVP Gene Sequencing Analysis Report								
348	MLPA	LPE322	SMN1/2 Gene MLPA Analysis Report	Spinal Muscular Atrophy	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen	"SMN1, SMN2 on 5q13.2"	*Multiplex Ligation-dependent Probe Amplification (MLPA)		"Spinal muscular atrophy (SMA)는 척수와 뇌간의 anterior horn cell (lower motor neuron)의 변성과 소실로 인해 진행성 근쇠약을 유발하는 질환군으로 상염색체 열성 유전 양상을 보입니다. SMA와 관련된 유전자에는 SMN1, SMN2 두 유전자가 있으며 이 중 SMN1 유전자가 질환을 결정하는 유전자입니다. SMA환자의 95-98%에서 SMN1 유전자의 결실 혹은 절단이 동형접합의 형태로 관찰되며, 2-5%에서는 SMN1유전자의 결실 혹은 절단과, SMN1 유전자의 돌연변이가 복합 이형접합(compound heterozygote)의 형태로 관찰됩니다. 본 검사는 매우 유사한 염기서열을 가지고 있는 SMN1과 SMN2 유전자에서, 서로 차이를 보이는 exon7, exon8에 대한 각각의 probe를 이용하여 두 유전자의 copy number를 확인하는 검사법이며, SMN1 유전자의 돌연변이는 본 검사법으로는 검출할 수 없습니다. "	*MLPA is designed to detect the copy number of the SMN1 and SMN2 genes. The close sequence similarity between these genes complicates the analysis. Heterozygous deletions of probe recognition sequences should give a 35-50% reduced relative peak area of the amplification product of that probe. Note that other defects such as SMAll point mutations will not be detected by this MLPA test.	
349	SEQ	LPE495	SLC12A3 Gene Sequencing Analysis Report								
350	SEQ	LPE371	JAK3 Gene Sequencing Analysis Report								
351	SEQ	LPE457	FANCG Gene Sequencing Analysis Report								
352	SEQ	LPE420	DMD Gene Sequencing Analysis Report								
353	Genetic	LPE548	근긴장이상 질환 [NGS]	Dystonia (51 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
354	SEQ	LPE375	TGFBR2 Gene Sequencing Analysis Report								
355	MLPA	LPE351	HBA1/2 Gene MLPA Analysis Report	Alpha-Thalassemia (MIM #604131)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen	"HBA1, HBA2 on 16p13.3"	*Multiplex Ligation-dependent Probe Amplification (MLPA)		"Alpha-thalassemia는 α1-globin을 합성하는 HBA1 유전자 또는 α2-globin을 합성하는 HBA2 유전자의 돌연변이에 의해 발생하는 혈색소질환으로 상염색체 열성 유전 양상을 보입니다. HBA1과 HBA2 유전자는 동일한 coding exon을 가지는데, 이 유전자의 결실이 α-thalassemia 가장 흔한 원인으로 알려져 있으며(90%), 10%에서는 점돌연변이가 보고되고 있습니다. 정상적으로 4개의 a-globin allele이 존재하며, 4개 α-globin allele의 결실 및 이상은 Hb Bart syndrome, 3개의 allele의 결실 및 이상은 HbH disease의 임상 양상을 보입니다. Alpha-globin allele 결실 및 이상이 2개, 1개의 allele에서 관찰된 경우는 각각 α0-thalassemia (α-thalassemia trait), α+-thalassemia (α-thalassemia silent carrier)로 이들은 보인자(carrier)로 분류됩니다. 본 검사는 동일한 염기서열을 가지고 있는 HBA1과 HBA2 유전자와 인접? 유전자들에 대한 probe를 이용하여 두 유전자의 copy number를 확인하는 검사법이며, HBA1과 HBA2 유전자의 점돌연변이는 본 검사법으로는 검출할 수 없습니다."	"*MLPA contains 45 MLPA probes with amplification products between 130 and 481 nt: 34 probes for the HBA gene region and 11 reference probes that detect sequences outside this region. One of these 45 probes (136 nt) is specific for the presence of the Constant Spring mutation and will thus not generate a signal in the great majority of samples. HS40 is the major regulatory element of the human alpha-globin locus and is located 40 kb upstream of the zeta-globin gene. Two HS40 specific probes are present. Deletions are known in which only the HS40 region was affected. One probe detects a sequence telomeric of HS40 and 5 probes detect sequences centromeric of HBQ1. These flanking probes are only included to delineate the extent of large HBA region copy number changes. Three probes (172, 214 and 220 nt) detect sequences that are present in both HBA1 and HBA2. The HBA1 and HBA2 genes are almost identical. Pairs of probes were designed for five locations with a very small sequence difference between the two genes: one probe detecting the HBA1 sequence and the other probe detecting the HBA2 sequence. Due to the close proximity of the genes, it is possible that in some healthy individuals the HBA2 sequence at one of these five locations is changed by gene conversion in the HBA1 sequence (or vice versa), without any clinical consequences. Note that other defects such as small point mutations will not be detected by this MLPA test."	
356	Genetic	LPE452	유전성 용혈성 빈혈 [NGS]	Hereditary hemolytic anemia (48 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
357	SEQ	LPE481	" TGFBI Exon4,11,12,14 Sequencing Analysis Report "	"Corneal dystrophy; Lattice type MIM#122200, Avellino type MIM#607541"	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen 	TGFBI on 5q31.1	"*Direct sequencing for exon 4, 11, 12 and 14 including intron-exon boundaries"	"TGFBI Exon4,11,12,14 유전자 변이는 NM_000358.2 reference sequence를 기준으로 기술하였습니다. *Sequencing has an analytical sensitivity of approximately 99% for the detection of nucleotide base alterations, small deletions and insertions, but it does not detect large deletions. Low-level mosaicism will not be detected by routine sequencing methodologies. Only the coding and immediate flanking regions of genes are analyzed, new splice sites, changes in the promoter region, and other non-coding or regulatory region will not be detected."	"TGFBI (Tissue growth factor beta inducible) 유전자는 각막의 development와 healing에 관여하는 유전자로 corneal dystrophy (Lattice, Granular, Reis Bucklers, Avellino)에서 돌연변이가 관찰됩니다. Lattice corneal dystrophy의 경우 대부분 R124C가, Avellino corneal dystrophy의 경우 대부분 R124H가 관찰되며 Homozygosity/Heterozygosity 여부에 따라 corneal deposit의 중증도가 영향을 받는 것으로 알려져 있습니다."	"본 검사는 exon 4, 11, 12, 14번과 인접한 flanking region을 직접염기서열법으로 분석하는 방법이며 임상적으로 corneal dystrophy 가능성이 강하게 의심되는 경우, TGFBI 유전자 전체에 대한 염기서열분석검사[LPE229]를 처방하시기 바랍니다."	
358	Genetic	LPE455	선천성 혈소판 감소증 [NGS]	Thrombocytopenia (89 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
359	MLPA	LPE332	CYP21A2 Gene MLPA Analysis Report	21-hydroxylase deficiency (MIM #201910)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen	CYP21A2 on 6p21.33	*Multiplex Ligation-dependent Probe Amplification (MLPA)		선천성부신증식증은 95%이상이 21-hydroxylase(수산화효소)의 결핍으로 인해 야기되며 21-hydroxylase deficiency(21-OHD)의 원인 유전자는 CYP21A2 으로 CYP21A2 유전자의 10 개 exon 에 걸쳐 돌연변이가 발견됩니다. 또한 pseudogene 인 CYP21A1P 와 active gene 인 CYP21A2 간의 재조합에 의해 active gene 의 결실이 발생하는 돌연변이가(deletion/large gene conversion) 전체돌연변이의 약 20-30% 정도를 차지합니다. 본 검사는 CYP21A2 유전자의 deletion/large gene conversion 과 duplication 을 검출하기 위한 MLPA 검사로 21-hydroxylase deficiency 원인 돌연변이의 약 20-30%를 본 검사법으로 검출할 수 있습니다. CYP21A2 유전자의 점 돌연변이에 의한 21-hydroxylase deficiency 감별을 위해서는 CYP21A2 유전자에 대한 직접염기서열분석법 검사(LPE227)를 의뢰하시기 바랍니다. 	"*MLPA P050-B2 CAH probemix is designed to detect large deletions and large gene conversion in the CYP21, C4 and TNXB genes on 6p21.3. This P050-B2 CAH probemix contains 5 probes for CYP21A2 (exons 1, 3, 4, 6 and 8); among these are 8bp deletion, I172, Cluster E6 and A318 mutation. Please note that some defects in these genes is caused by deletions/duplications of complete exons. Please note that some defects in these genes are expected to be small (point) mutations, most of which will not be detected by this MLPA test. "	
360	Genetic	LPE456	선천성 백혈구 감소증 [NGS]	Neutropenia (23 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
361	Genetic	LPE489	선천성 면역결핍증 [NGS]	Primary Immunodeficiency (363 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
362	Genetic	LPE518	유전성 심근병증 [NGS]	Cardiomyopathy (170 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
363	Genetic	LPE490	유전성 대동맥질환 [NGS]	Hereditary Aortic disorders (232 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
364	Genetic	LPE517	유전성 신장질환 [NGS]	Kidney Disease (282 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
365	Genetic	LPE523	유전성 발달지연(DD/ASD) [NGS]	Developmental delay/Autism spectrum disorder (985 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
